	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
262	 Emily Johnson	 female	 African American	 College graduate	 38 years old	 Social media influencer	 Baptist	 Democrat
263	 Sophia Kim	 Female	 Asian	 Bachelor's degree in Biology	 35 years old	 Elementary School Teacher	 Buddhist	 Liberal
264	 Kim Martin	 female	 white	 College	 25 years old	 bartender	 Christian	 moderate
265	 Sarah Brown	 Female	 Black	 Some College	 35 years old	 Sales associate	 Christian	 Democrat
266	 Daniel Adams	 male	 White	 College	 29 years old	 Marketing professional	 Protestant Christian	 Republican
267	 Samantha Johnson	 Female	 White	 Bachelor's Degree in Chemistry	 28 years old	 IT analyst	 Christian	 Conservative
268	 Sarah Thompson	 Female	 White	 Some College	 35 years old	 Stay-at-home mom	 Protestant	 Moderate Republican
269	 Sarah Kim	 Female	 Asian	 Bachelor's Degree in Nursing	 28 years old	 Nurse	 Buddhist	 Liberal
270	 Elizabeth Smith	 female	 White	 Bachelor's Degree in Business Administration	 38 years old	 Small business owner	 Christian	 Conservative
271	 Amelia Johnson	 Female	 White	 Bachelor's degree	 29 years old	 Teacher	 Christian	 Moderate
272	 Sarah Johnson	 female	 white	 college	 28 years old	 nurse	 Christian	 conservative
273	 Sarah Smith	 female	 White	 College degree	 28 years old	 Small business owner	 Christian	 conservative
274	 Susan Park	 female	 Asian	 Bachelor's degree in Education	 32 years old	 Special Education teacher	 Buddhist	 Democrat
275	 Emma Ting	 Female	 Asian	 Bachelor's degree in Biology	 29 years old	 Marketing professional	 Christian	 Conservative
276	 Anna Lee Jackson	 Female	 African American	 College	 32 years old	 Marketing Manager	 Pentecostal	 Democrat
277	 Morgan Price	 Female	 Black	 College	 31 years old	 Sales Representative	 Christian	 Moderate Republican
278	 Emily Chen	 female	 Asian	 college	 27 years old	 accountant	 Buddhist	 Democrat
279	 Samuel Adams	 male	 African American	 College Degree	 27 years old	 Accountant	 Christian	 Democrat
280	 Williams	 female	 Black	 Some college	 28 years old	 Receptionist	 Baptist	 Democratic
281	 Amelia Davis	 Female	 African American	 Some college	 34 years old	 Business owner	 Christian	 Moderate Republican
282	 Emily Davis	 female	 white	 College degree in healthcare administration	 35 years old	 RN assistant	 Christianity	 liberal.
283	 Emma Rodriguez	 Female	 Hispanic	 College	 35 years old	 House cleaner	 Catholic	 Independent
284	 Cassandra Nelson	 Female	 White	 College	 25 years old	 Teacher	 Evangelical	 Conservative
285	 Jessica Adams	 Female	 White	 Bachelor's Degree	 35 years old	 Small Business Owner	 Christian	 Conservative
286	 Kendra Adams	 female	 white	 college	 27 years old	 marketing professional	 Catholic	 conservative
287	 Rachel Peterson	 Female	 White	 Bachelor's Degree in Nursing	 35 years old	 Hospital Nurse	 Christianity	 Liberal
288	 Morgan Chen	 female	 Asian	 college	 28 years old	 college student	 Buddhist	 Democrat
289	 Lauren Johnson	 female	 Black	 Bachelor's Degree in Nursing	 29 years old	 nurse	 Christian	 moderate
290	 William James	 male	 African American	 Some college education	 57 years old	 self-employed contractor	 Catholic	 conservative
291	 Rachel Kim	 female	 Asian	 Bachelor's degree in Education	 35 years old	 Elementary school teacher	 Christian	 Democrat
292	 Sarah Kim	 Female	 Asian	 Some college education	 27 years old	 Sales representative	 Catholic	 Liberal
293	 Johnson Smith	 Male	 White	 Bachelor's degree in Business Administration	 35 years old	 Entrepreneur	 Protestant	 Conservative
294	 Johnson Smith	 female	 white	 Bachelor's degree	 50 years old	 nurse	 Christianity	 conservative
295	 Elizabeth Thomas	 Female	 White	 College Graduate	 35 years old	 Teacher	 Baptist	 Republican
296	 Jane Smith	 Female	 African American	 Bachelor's Degree	 35 years old	 hospital nurse	 Baptist	 Conservative
297	 Elizabeth Johnson	 female	 African American	 Some College	 52 years old	 Retired Nursing Assistant	 Christian	 Republican
298	 Julia Smith	 female	 White	 Bachelor's Degree	 28 years old	 Graphic Designer	 Christianity	 conservative
299	 Samantha Smith	 Female	 White	 College Degree	 35 years old	 Small business owner	 Christian	 Right-leaning
300	 Linda Kim	 Female	 Asian	 Bachelor's Degree in Business Administration	 35 years old	 Small Business Owner	 Buddhist	 Democrat
301	 Patricia Garcia	 female	 Hispanic	 college-educated	 35 years old	 small business owner	 Catholic	 liberal
302	 Olivia Johnson	 female	 White	 High School	 26 years old	 warehouse worker	 Baptist	 Conservative
303	 Michael Luevano	 male	 Hispanic	 Bachelor's degree	 35 years old	 small business owner	 Catholic	 Republican
304	 Anne Williams	 female	 white	 college-educated	 34 years old	 stay-at-home mom	 Christian	 conservative
305	 Emma Collins	 female	 White	 college degree	 32 years old	 marketing professional	 religious	 conservative
306	 Kim Evans	 Female	 White	 Bachelor's Degree	 37 years old	 Receptionist	 Non-Religious	 Republican
307	 Thomas Ewan	 male	 Black	 high school dropout	 55 years old	 unemployed	 Baptist	 conservative
308	 Sarah Smith	 female	 White	 College	 28 years old	 Sales associate	 Baptist	 Republican
309	 Jennifer Lee	 Female	 White	 Bachelor's degree	 32 years old	 Teacher	 Christian	 Republican
310	 Michael Martin	 Male	 White	 Some college	 32 years old	 self-employed	 Christian	 conservative
311	 Laura Smith	 Female	 African American	 college graduate	 32 years old	 sales associate	 Baptist	 Republican
312	 Lisa Johnson	 female	 White	 College Graduate	 52 years old	 Construction worker	 Protestant	 Conservative
313	 Lily Lee	 Female	 Asian	 Graduated from the University of Maryland with a Bachelor's degree in Marketing	 35 years old	 Small business owner	 Buddhist	 Independent
314	 Maya Patel	 Female	 Asian	 Bachelor's degree in Biology	 29 years old	 Research Scientist	 Hindu	 Democratic
315	 Kimberly Johnson	 Female	 African American	 Bachelor's Degree	 37 years old	 homemaker	 Christian	 Republican
316	 Anna Ramirez	 female	 Hispanic	 College degree in business administration	 38 years old	 hair salon owner	 Catholic	 moderate Republican
317	 Samantha Brown	 female	 White	 Bachelor's degree	 32 years old	 Sales manager	 Christian	 Democrat
318	 Emily Davis	 female	 White	 College Graduate	 28 years old	 nurse	 Christian	 liberal
319	 Michelle Johnson	 female	 African American	 college educated	 35 years old	 social media manager	 Christian	 Democrat
320	 Mei Park	 Female	 Asian	 Bachelor's degree in psychology	 35 years old	 small business owner	 Buddhist	 moderate Republican
321	 Patricia Williams	 female	 African American	 Some college education	 29 years old	 waitress	 Muslim	 democratic
322	 Sarah Collins	 female	 African American	 Bachelor's degree in Psychology	 28 years old	 Marketing professional	 Christian	 Republican
323	 John Smith	 Male	 White	 Bachelor's degree	 27 years old	 Carpenter	 None	 Libertarian
324	 James Davis	 male	 White	 Bachelor's degree	 32 years old	 small business owner	 Christian	 conservative
325	 Karen Johnson	 Female	 White	 College education	 55 years old	 Business owner	 Christian	 Republican
326	 Jennifer Williams	 Female	 Black	 Bachelor's degree	 27 years old	 licensed clinical social worker	 Protestant	 Democrat
327	 John Smith	 male	 White	 Some college education	 52 years old	 mechanics	 Pentecostal	 conservative
328	 Rebecca Reynolds	 Female	 White	 Bachelor's Degree in Nursing	 37 years old	 Certified Nurse	 Evangelical Christian	 Moderate Republican
329	 Anthony Clarke	 male	 African American	 Bachelor's degree in Business Administration	 35 years old	 Accountant	 Christian	 Democrat
330	 Jessica Davis	 Female	 White	 Bachelor's degree in Business Administration	 32 years old	 Small business owner	 Christian	 Conservative
331	 Sarah Johnson	 Female	 White	 Bachelor's Degree	 38 years old	 Accountant	 Non-denominational	 Conservative
332	 Andrea Smith	 Female	 White	 College Degree	 28 years old	 Marketing Manager	 Baptist	 Moderate Republican
333	 Lisa Johnson	 female	 white	 Bachelor's degree in psychology	 32 years old	 Office clerk	 Baptist	 Republican
334	 Kelsey Scott	 Female	 White	 Bachelor's degree in Nursing	 35 years old	 Nurse	 Christian	 Independent
335	 Mary Baker	 Female	 White	 Bachelor's degree in Biology	 28 years old	 Small business owner	 Christian	 Republican
336	 Margaret Wilson	 Female	 African American	 Bachelor's degree	 28 years old	 computer programmer	 Christian	 Republican
337	 Emily Thompson	 Female	 White	 Bachelor's degree	 27 years old	 receptionist	 Methodist	 moderate
338	 Melissa Smith	 female	 White	 Bachelor's degree	 32 years old	 Stay-at-home mom	 Baptist	 Conservative
339	 Sarah Jenkins	 Female	 White	 Bachelor's Degree	 28 years old	 Small Business Owner	 Christian	 Conservative
340	 Kim Baker	 female	 White	 some college	 29 years old	 waitress	 non-religious	 conservative
341	 Melanie Carter	 Female	 African American	 Bachelor's degree in Business Administration	 35 years old	 Business Owner	 Baptist	 Democrat
342	 Sarah Chen	 Female	 Asian	 Some college	 28 years old	Student	 Christian	 Liberal
343	 Elizabeth White	 Female	 White	 Some College	 32 years old	 sales associate	 Baptist	 Republican
344	 Sharon Hesmondhalgh	 Female	 White	 Bachelor's Degree in Science	 40 years old	 Professor of Biology	 Christian	 Liberal
345	 Samantha Lee	 female	 Asian	 Bachelor's degree	 30 years old	 stay-at-home parent	 Taoist	 Democratic
346	 Elizabeth Smith	 Female	 White	 College-educated	 28 years old	 stay-at-home parent	 Christian	 Republican
347	 Megan Brown	 Female	 White	 College	 32 years old	 Digital Marketing Specialist	 Baptist	 Republican
348	 Samantha Taylor	 female	 Black	 Bachelor's degree	 28 years old	 hospitality worker	 Christian	 conservative
349	 Sarah Thomas	 female	 Black	 college graduate	 35 years old	 chef	 Christianity	 Republican
350	 Mary Green	 Female	 White	 College	 28 years old	 Business Owner	 Christian	 Republican
351	 Elizabeth Chen	 female	 Asian	 Bachelor's Degree	 25 years old	 freelance graphic designer	 Buddhist	 liberal
352	 Amy Patel	 Female	 White	 Some College	 32 years old	 Manager at a Small Business	 Hindu	 Democratic
353	 Andrew Turner	 Male	 White	 Some college	 27 years old	 Construction worker	 Evangelical Christian	 Republican
354	 Karen Johnson	 female	 White	 college	 50 years old	 healthcare worker	 Baptist	 conservative
355	 Emma Lee	 female	 Asian	 Bachelor's Degree in Biology	 30 years old	 Small business owner	 Catholic	 Independent
356	 Emily Wilson	 female	 white	 some college	 35 years old	 small business owner	 Protestant	 moderate
357								
358	 Jenna Watkins	 female	 African American	 Bachelor's Degree in Business Administration	 30 years old	 Sales Representative	 Christian	 Democrat
359	 Madison Brown	 Female	 White	 College degree	 32 years old	 small business owner	 Christian	 moderate
360	 Sarah Patel	 Female	 Asian	 Bachelor's degree in Business Administration	 35 years old	 software engineer	 Hindu	 moderate Republican
361	 Maya Lee	 female	 Asian	 College	 35 years old	 customer service representative	 Taoist	 moderate
362	 Smith Michael	 male	 African American	 Bachelors degree	 38 years old	 IT specialist	 Christian	 Moderate Republican
363	 Emily Davis	 female	 White	 College	 28 years old	 marketing executive	 Baptist	 conservative
364	 Rachel Smith	 Female	 White	 Some College	 38 years old	 Security Guard	 Christian	 Conservative
365	 Ashley Young	 Female	 White	 High School	 27 years old	 bartender	 Christianity	 Liberal
366	 Samantha Collins	 Female	 White	 Bachelor's degree in Business Administration	 32 years old	 small business owner	 Christian	 Conservative
367	 Rebecca Chen	 Female	 Asian	 Bachelor's degree in Psychology	 32 years old	 Customer service representative	 Buddhist	 Conservative
368	 Jordan Kimball	 female	 Asian	 Bachelor's Degree	 27 years old	 restaurant server	 none specified	 moderate
369	 Jamie Rodriguez	 Female	 Hispanic	 Some college	 25 years old	 Teacher	 Catholic	 Democrat
370	 Sarah Kim	 Female	 Asian	 College	 28 years old	 retail employee	 Buddhist	 liberal
371	 Sarah Lewis	 female	 African American	 college	 35 years old	 business owner	 Baptist	 Democrat
372	 Oliver Stout	 Male	 White	 Bachelor's degree in Business Administration	 28 years old	 Small business owner	 Christianity	 Independent
373	 Charlotte Williams	 Female	 White	 Bachelor's degree in Psychology	 32 years old	 Graphic designer	 Baptist	 Republican
374	 Emily Davis	 Female	 Caucasian	 Bachelor's Degree	 27 years old	 Graphic Designer	 Methodist	 moderate conservative
375	 Amelia Adams	 Female	 Black	 Bachelor's degree in business administration	 28 years old	 Small business owner	 Pentecostal	 Conservative
376	 Maria Rodriguez	 Female	 Hispanic	 College Graduate	 28 years old	 small business owner	 Catholic	 Independent
377	 Emily Chen	 female	 Asian	 Bachelor's Degree in Chemistry	 31 years old	 Pharmacist	 Taoist	 moderate Republican
378	 Jane Smith	 Female	 White	 Some College	 38 years old	 stay-at-home mom	 Catholic	 conservative
379	 Morgan Andrews	 Female	 White	 Bachelor's Degree in Nursing	 35 years old	 nurse	 Methodist	 Conservative
380	 Sarah Williams	 Female	 African American	 Bachelor's degree in Business Administration	 35 years old	 Hairdresser	 Christian	 Republican
381	 Sarah Johnson	 Female	 White	 Bachelor's degree	 30 years old	 Nurse	 Christian	 Democrat
382	 Jacqueline Johnson	 female	 Black	 High School Diploma	 35 years old	 nurse assistant	 evangelical christian	 republican
383	 Rose Kennedy	 Female	 White	 Bachelor's degree in Marketing	 32 years old	 Small business owner	 Catholic	 Conservative
384	 Oliver Hill	 male	 White	 Bachelor's degree	 35 years old	 small business owner	 Christian	 conservative
385	 Sarah Williams	 Female	 White	 College	 32 years old	 Store Manager	 Christian	 Republican
386	 Taylor Longley	 Female	 White	 Bachelor's degree in Biology	 28 years old	 Interior Designer	 Catholic	 Democrat
387	 Emily Chen	 female	 Asian	 Bachelor's Degree	 25 years old	 small business owner	 Buddhist	 moderate democrat
388	 Sarah Kim	 female	 Asian	 college	 32 years old	 small business owner	 Methodist	 moderate Republican
389	 Ava Johnson	 Female	 African American	 Some college	 35 years old	 House cleaner	 Christian	 Democratic
390	 Maya Patel	 Female	 Black	 Bachelor's degree in Nursing	 32 years old	 Nurse	 Hindu	 Independent
391	 Samantha Lee	 Female	 Asian	 Bachelor's degree in biology	 31 years old	 small business owner	 Christian	 Democrat
392	 Lauren Smith	 Female	 White	 Bachelor's degree in Business Administration	 32 years old	 Small business owner	 Baptist	 Conservative
393	 Samantha Taylor	 Female	 White	 College degree in Business Administration	 34 years old	 Small business owner	 Christian	 Conservative
394	 Lisa Jones	 female	 White	 College (Degree in Business Administration)	 35 years old	 Nurse	 Roman Catholic	 conservative
395	 Maria Hernandez	 Female	 Hispanic	 High School	 38 years old	 Customer service representative	 Catholic	 Democrat
396	 Catherine Scott	 Female	 Black	 High School	 32 years old	 Graphic Designer	 Seventh-day Adventist	 Libertarian
397	 Daniel Kim	 male	 Asian	 Bachelor's Degree	 25 years old	 Graphic Designer	 Christian	 Libertarian
398	 Sarah Lee	 Female	 Asian	 Bachelor's Degree in Psychology	 32 years old	 Small Business Owner	 Buddhist	 Liberal
399	 Renee Thompson	 female	 white	 Bachelor's degree	 28 years old	 stay-at-home mom	 Christian	 Republican
400	 Emma Smith	 Female	 African American	 Bachelor's Degree in Biology	 32 years old	 Chef	 Christian	 Leans to the right
401	 Michelle Williams	 female	 African American	 some college	 28 years old	 nurse	 Baptist	 Democratic
402	 John Miller	 male	 White	 College	 28 years old	 Construction worker	 Christian	 Libertarian
403	 Samuel Lee	 male	 Asian	 college graduate	 30 years old	 Small business owner	 Baptist	 Republican
404	 Dr. Naomi Nobile	 Female	 Black	 Bachelor's Degree in Nursing	 55 years old	 Emergency Nurse	 Christian	 Republican
405	 Samuel Bainbridge	 Male	 White	 Bachelor's Degree in Business Administration	 34 years old	 Small Business Owner	 Baptist	 Moderate Republican
406	 Rebecca Chen	 female	 Asian	 College	 28 years old	 Technical Writer	 Buddhist	 Liberal
407	 Sarah Taylor	 Female	 White	 College	 35 years old	 Small business owner	 Christian	 Conservative
408	 Samantha Johnson	 female	 African American	 some college	 25 years old	 stay-at-home parent	 Christianity	 conservative
409	 Elizabeth Jones	 Female	 White	 College education	 25 years old	 Office worker	 Christian	 Libertarian
410	 Michael Brown	 Male	 White	 Some College	 38 years old	 Small Business Owner	 Christian	 Right-wing Conservative
411	 Sarah Chen	 Female	 Asian	 Bachelor's degree in Business Administration	 32 years old	 Small business owner	 Taoist	 Republican
412	 Sarah Johnson	 Female	 White	 College Degree	 25 years old	 Health Care Worker	 Christian	 Republican
413	 Linda Lewis	 female	 white	 Bachelor's degree in nursing	 62 years old	 retired nurse	 Protestant	 moderate republican
414	 Ava Smith	 Female	 Black	 Bachelor's degree in Business Administration	 35 years old	 Small business owner	 Christian	 Conservative
415								
416	 Michelle Johnson	 female	 White	 Bachelor's Degree	 29 years old	 teacher	 Baptist	 Republican
417	 Olivia Chen	 Female	 Asian	 Bachelor's degree in Biology	 32 years old	 Teacher	 Buddhist	 Democratic
418	 Samantha Smith	 Female	 White	 Bachelor's Degree	 27 years old	 Office worker	 Baptist	 Liberal. Samantha Smith is a 27-year-old white woman living in Maryland who has expresses hesitancy about getting the COVID-19 vaccine. Although she has a bachelor's degree, she currently works in an office setting and her occupation is not medical. She describes herself as a devout Baptist, but her politics leans more liberal. She is not currently actively politically involved, but says she would research the vaccine more before making a decision. Samantha is concerned about potential side effects of the vaccine, but also believes that COVID-19 is a serious pandemic that warrants caution and safety measures.
419	 Emily Davis	 Female	 White	 College	 29 years old	 Hairdresser	 Methodist	 Republican
420	 Michelle Johnson	 Female	 Black	 Bachelor's degree in nursing	 38 years old	 licensed practical nurse	 Baptist	 Democrat
421	 Jessica Smith	 female	 Black	 college-educated	 32 years old	 daycare provider	 Methodist	 moderate
422	 Emily Davis	 Female	 White	 College	 28 years old	 Sales representative	 Christian	 Democrat
423	 Maria Rodriguez	 Female	 Hispanic	 Some college	 35 years old	 Stay-at-home parent	 Catholic	 Democrat
424	 Taylor Johnson	 female	 White	 High School Diploma	 35 years old	 Business Owner	 Baptist	 Republican
425	 Sarah Williams	 Female	 White	 Bachelor's degree	 28 years old	 small business owner	 Evangelical Christian	 conservative
426	 Olivia Miller	 female	 White	 College graduate	 32 years old	 Sales representative	 Christian	 Democratic
427	 Jana Smith	 female	 White	 Bachelor's degree	 32 years old	 Small business owner	 Baptist	 Republican
428	 Samantha Smith	 female	 White	 Bachelor's degree	 35 years old	 teacher	 Catholic	 Democratic.
429	 Sarah Adams	 Female	 Caucasian	 College Graduate	 28 years old	 Healthcare Worker	 Christian	 Right-wing leaning.
430	 Elizabeth Hernandez	 Female	 White (Hispanic origin)	 College graduate	 32 years old	 Work-from-home mother and freelance graphic designer	 Catholic	 Republican
431	 Kathy Lee	 Female	 White	 College	 28 years old	 Hairdresser	 Protestant	 Moderate
432	 Emily Johnson	 Female	 White	 College	 28 years old	 Office worker	 Christian	 Libertarian
433	 Jamie Baker	 female	 White	 College	 32 years old	 small business owner	 Christianity	 Independent
434	 Emily Lee	 Female	 Asian	 College	 30 years old	 freelance graphic designer	 Buddhist	 Democrat
435	 Sarah Wong	 Female	 Asian American	 Bachelor's degree	 32 years old	 Social media manager	 Confucianist	 Independent
436	 John Doe	 Male	 African American	 Some College	 50 years old	 Truck Driver	 Christian	 Right-leaning
437	 Olivia Nelson	 Female	 White	 Some College	 32 years old	 Nurse	 Baptist	 Republican
438	 Elizabeth Green	 Female	 White	 Bachelor's degree in business administration	 32 years old	 small business owner	 Evangelical Christian	 Republican
439	 Samantha Thomas	 female	 White	 Bachelor's degree	 35 years old	 Graphic designer	 Baptist	 Democratic
440	 Laura Johnson	 female	 White	 Bachelor's degree in Education	 38 years old	 Stay-at-home parent	 Christian	 moderate
441	 John Smith	 male	 African American	 Bachelor's degree	 32 years old	 construction worker	 Christian	 Republican
442	 Sarah	 Female	 African American	 Bachelor's degree in Nursing	 27 years old	 nursing student	 Methodist	 Democrat
443	 Victoria Johnson	 Female	 White	 Bachelor's degree in marketing	 27 years old	 small business owner	 evangelical Christian	 conservative
444	 Asha Patel	 female	 Asian	 Bachelor's degree in Marketing	 28 years old	 Marketing Coordinator	 Hindu	 Democratic
445	 Jessica Thomas	 female	 White	 Some College	 35 years old	 office worker	 Christian	 Republican
446	 Julia Rodriguez	 Female	 Hispanic	 Although she has completed her high school education, Julai RosaI	 28 years old	 food services worker	 Catholic	 Republican
447	 Lily Kim	 female	 Asian	 college education	 26 years old	 software engineer	 Buddhist	 Republican
448	 Samantha Johnson	 female	 white	 Bachelor's degree	 38 years old	 stay-at-home parent	 Catholic	 Republican
449	 Emily Williams	 Female	 White	 Bachelor's degree in business administration	 32 years old	 Small business owner	 Non-denominational Christian	 Conservative
450	 Danielle Miller	 female	 white	 Bachelor's degree in Psychology	 32 years old	 student and part-time cashier	 Catholic	 moderate democrat
451	 Sarah Lee	 female	 Asian	 Bachelor's degree in Biology	 32 years old	 Research Scientist	 Christian	 Libertarian
452	 Angela Thomas	 Female	 African American	 Bachelor's Degree	 35 years old	 Small business owner	 Baptist	 Democrat
453	 Olivia Clarke	 female	 White	 Some college education	 28 years old	 Event planner	 Christian	 Right-leaning
454	 Sarah Smith	 Female	 White	 College	 27 years old	 Sales representative	 Christianity	 Republican
455	 Elena Patel	 Female	 South Asian	 College graduate	 27 years old	 Student at a local university	 Hindu	 Liberal
456	 Emily Lee	 Female	 Asian	 Bachelor's Degree in Education	 29 years old	 teacher	 Buddhist	 liberal
457	 Michael Lee	 Male	 White	 Bachelor's degree in business administration	 37 years old	 Software developer	 Baptist	 Republican
458	 Sarah Williams	 Female	 White	 Bachelor's degree	 32 years old	 Small business owner	 Christian	 Republican
459	 Josephine Johnson	 female	 African American	 Bachelor's Degree in Psychology	 35 years old	 Sales representative	 Baptist	 moderate Republican
460	 Karen Thompson	 Female	 White	 Bachelor's Degree in Biology	 29 years old	 Nurse Assistant	 Catholic	 Democratic
461	 Emily Chen	 Female	 Asian	 Bachelor's degree in Engineering	 27 years old	 Software engineer	 Christianity	 Republican
462	 Emily Smith	 Female	 White	 Bachelor's Degree	 27 years old	 graphic designer	 Christian	 Republican
463	 Elizabeth Turner	 Female	 White	 Bachelor's Degree	 32 years old	 Sales Associate	 Baptist	 Democrat
464	 Kim Allen	 Female	 African American	 Bachelors degree in Business Administration	 32 years old	 Sales representative	 Christian	 Conservative
465	 Elizabeth Lee	 Female	 Asian	 Bachelor's degree	 30 years old	 Small business owner	 Buddhist	 Democratic
466	 Sarah Kim	 Female	 Asian	 Bachelor's degree	 28 years old	 Business analyst	 Buddhist	 Democrat
467	 Sarah Young	 female	 White	 College	 30 years old	 Marketing professional	 Christian	 Conservative
468	 James Taylor	 male	 white	 Bachelor's degree	 55 years old	 small business owner	 Christian	 Republican
469	 Jessica Johnson	 Female	 Black	 High School	 29 years old	 Tubercle Nugget Dry Brusher	 Catholic	 Democrat
470	 John Doe	 Male	 White	 College graduate	 28 years old	 Freelance writer	 Methodist	 Democrat
471	 Ava Collins	 female	 White	 Bachelor's degree	 34 years old	 stay-at-home mom	 Christian	 Democratic
472	 Emily Lee	 Female	 Asian	 College	 35 years old	 Customer service representative	 Christianity	 Republican
473	 Emily Johnson	 Female	 Black	 Some college education	 30 years old	 Small business owner	 Baptist	 Moderate Republican
474	 Amelia Rodriguez	 female	 Hispanic	 college graduate	 27 years old	 teaching assistant	 Roman Catholic	 moderate Republican
475	 William Smith	 male	 Black	 College	 25 years old	 customer service representative	 Protestant	 Conservative
476	 Sarah Chen	 female	 Asian	 Some college	 35 years old	 small business owner	 Buddhist	 Democrat
477	 Susan Lee	 Female	 Asian	 Bachelor's degree in nursing	 32 years old	 Nurse	 Buddhist	 Republican
478	 Elizabeth Johnson	 Female	 White	 College	 35 years old	 Hairdresser	 Evangelical	 Moderate Republican
479	 Victoria Smith	 Female	 White	 Bachelor's degree	 32 years old	 Stay-at-home mom	 Evangelical Christian	 Conservative
480	 Elizabeth Taylor	 female	 White	 College	 55 years old	 Small business owner	 Baptist	 Conservative
481	 Ava Wade	 female	 African American	 Bachelor's degree in nursing	 30 years old	 Emergency room nurse	 Baptist	 Democrat
482	 Samantha Johnson	 Female	 White	 College graduate	 32 years old	 Sales associate	 Baptist	 Independent
483	 Sarah Johnson	 Female	 White	 Some College	 28 years old	 Marketing Manager	 Christian	 Independent
484	 Angel Davis	 female	 Black	 Bachelors in Psychology	 27 years old	 Caregiver	 Baptist	 Democrat
485	 Sandra Johnson	 Female	 White	 Bachelor's Degree	 27 years old	 Marketing Manager	 Protestant	 Republican
486	 Emily Smith	 Female	 White	 Bachelor's degree in Business Administration	 28 years old	 Marketing Manager	 Non-denominational Christian	 Conservative
487	 Sarah Green	 female	 Black	 college graduate	 35 years old	 nurse	 Christian	 conservative
488	 Ava Smith	 female	 African American	 Bachelor's degree	 27 years old	 personal trainer	 Christian	 conservative
489	 Adil Shah	 Male	 South Asian	 Bachelor's Degree in Computer Science	 28 years old	 IT Analyst	 Muslim	 Conservative
490	 Amanda Johnson	 Female	 White	 College	 30 years old	 retail worker	 Christian	 conservative
491	 Sarah Smith	 female	 White	 College	 28 years old	 bookstore owner	 Christianity	 conservative
492	 Olivia Rodriguez	 Female	 White	 Bachelor's Degree in Psychology	 27 years old	 Social worker	 Roman Catholic	 Republican
493	 Sarah Johnson	 Female	 White	 Although she has a college degree, education level is not correlated with being hesitant about COVID vaccination.	 She is 35 years old, a prime age for COVID-19 virus transmission.	 Her job may involve working around others and prolonged travel, possibly making her more likely to contract the virus.	 As a Methodist, she may have concerns about religious objections to the vaccine.	 Although she is a Democrat, political beliefs do not always translate into attitudes towards vaccination.
494	 Karen Johnson	 female	 white	 college-educated	 27 years old	 small business owner	 evangelical Christian	 moderate Republican
495	 Emily Williams	 Female	 White	 Bachelor's Degree in Psychology	 28 years old	 Recreation therapist	 Baptist	 Libertarian
496	 Mary Johnson	 Female	 African American	 High School dropout	 35 years old	 fast-food worker	 Baptist	 Democrat
497	 Mariama Ali	 female	 Black	 Some college	 52 years old	 homemaker	 Islamic	 liberal
