	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
258	 Emily Jones	 Female	 White	 Bachelor's degree in Science	 28 years old	 Biologist	 Christian	 Democrat
259	 John Smith	 male	 White	 Bachelor's degree	 35 years old	 Software Engineer	 Christian	 Democrat
260	 Kim Scott	 Female	 Caucasian	 College Degree	 52 years old	 Nurse	 Christian	 Democratic
261	 Smith	 Female	 White	 College	 50 years old	 Medical professional	 Christian	 Democratic
262	 Susan Johnson	 female	 white	 college degree	 35 years old	 manager	 Christian	 liberal
263	 Alex Scott	 Female	 White	 Bachelor's degree in Science	 32 years old	 Research scientist	 Christian	 Moderate
264	 Alex Henderson	 female	 White	 Bachelor's degree	 28 years old	 marketing professional	 Christian	 liberal
265	 Sarah Johnson	 Female	 White	 College	 28 years old	 marketing professional	 Protestant	 Liberal
266	 Rodriguez	 Female	 Hispanic	 Bachelor's degree	 55 years old	 Medical practitioner	 Catholic	 Democratic
267	 Elizabeth Kim	 Female	 Asian	 Bachelor's degree in Science	 32 years old	 Nurse	 Catholic	 Liberal
268	 Kim Okura	 Female	 Asian	 Master's degree	 35 years old	 Medical scientist	 Christianity	 Democrat
269	 Johnson	 female	 Black	 Bachelor's degree	 35 years old	 medical worker	 Christian	 Democratic
270	 Smith	 female	 White	 Graduate with a Bachelor's degree	 27 years old	 Marketing Manager	 Protestant	 Leans Democrat
271	 Smith	 female	 Caucasian	 college graduate	 35 years old	 nurse	 Catholic	 liberal
272	 Davis Jones	 female	 White	 Bachelor's Degree	 35 years old	 teacher	 Episcopalian	 liberal
273	 Alex Lee	 female	 Asian	 Bachelor's Degree	 32 years old	 Software Engineer	 Buddhist	 Liberal
274	 Emily Smith	 Female	 White	 College	 28 years old	 Marketing professional	 Presbyterian	 Democrat
275	 Smith is a 28-year-old female who has attained a graduate degree and currently works as a marketing professional.	 Females are more likely to be vaccinated than males in the US. Therefore, Smith fits this category.	 While there is data that demonstrates racial disparities in vaccine acceptance, the COVID-19 pandemic has made white Americans, particularly women, among the first to receive the vaccine. As a white female, Smith is in a category that falls under that.	 Educated individuals are often more likely to be eager to receive the vaccine, as they tend to be better informed about potential health risks and implications. Additionally, a recent study suggests that education level is a significant predictor of beliefs about COVID-19 vaccines. Smith being a graduate is consistent with this trend.	 While older age is a risk factor for severe disease from COVID-19, younger individuals are generally less anxious about receiving the vaccine and its effects. However, it's important to note that recent data suggests that many younger Americans may still have concerns about getting vaccinated, despite their overall lower mortality rates from COVID-19.	 Despite recent research showing some caution among certain industries such as healthcare workers and food service employees, professionals working in white-collar fields, like Smith as a marketing professional, have largely expressed their willingness to receive the vaccine.	 As research suggests, it is a challenge to determine the role that religious affiliation might play in the acceptance or rejection of COVID-19 vaccines, and we must be more diligent in tracking this aspect as individual opinions in this matter span all American values of diversity in these institutions that play a vital role in our nation.	 Although a scientific
276	 Dr. Olivia Thompson	 female	 Caucasian	 Master's degree in Biology	 35 years old	 Research Scientist	 non-denominational	 Democrat
277	 Ava Smith	 Female	 White	 College	 32 years old	 Software engineer	 Christian	 Libertarian
278	 Samantha Smith	 female	 Asian	 Bachelor's degree	 28 years old	 scientist	 Buddhist	 moderate democrat
279	 Emily Chen	 female	 Asian	 Bachelor's Degree	 35 years old	 marketing professional	 Christianity	 Democratic
280	 Michelle Williams	 Female	 Black	 Master's degree in healthcare	 35 years old	 Nurse	 Christian	 Democrat
281	 Jacobs Smith	 Female	 White	 College degree	 32 years old	 Software Engineer	 Catholic	 Democrat
282	 John Smith	 Male	 White	 Bachelor's degree	 55 years old	 Business Owner	 Protestant	 Democrat
283	 Kim Lee	 female	 Asian	 College-educated	 28 years old	 marketing professional	 Buddhist	 Democrat
284	 Katherine Lee	 Female	 Asian	 Bachelor's Degree in Computer Science	 32 years old	 Software Engineer	 Buddhist	 Democratic
285	 Sarah Smith	 female	 white	 college degree	 35 years old	 Marketing executive	 Christianity	 liberal
286	 Lauren Williams	 Female	 African American	 Bachelor's Degree in Nursing	 32 years old	 Registered Nurse	 Christianity	 Liberal
287	 Linda Chen	 Female	 Asian	 Master's degree	 55 years old	 business executive	 Buddhist	 Liberal
288	 Kim Nguyen	 female	 Asian	 Bachelor's degree	 32 years old	 software engineer	 Buddhist	 liberal
289	 Laura Williams	 Female	 White	 Bachelor's degree in nursing	 52 years old	 Nurse	 Christian	 Democrat
290	 Adams	 Female	 Black	 Bachelor's Degree	 55 years old	 nursing instructor	 Buddhist	 Democratic
291	 Emily Lee	 female	 Asian	 Bachelor's degree	 30 years old	 marketing manager	 Buddhist	 Democrat
292	 Johnson	 female	 White	 Bachelor's Degree	 35 years old	 Manager	 Catholic	 Democrat
293	 Johnson Smith	 female	 White	 College	 35 years old	 Marketing professional	 Catholic	 Democrat
294	 Asha Patel	 Female	 Asian	 College	 32 years old	 software engineer	 Hindu	 Liberal
295	 Kim Lee	 Female	 Asian	 Master's Degree	 35 years old	 Business Owner	 Methodist	 Democrat
296	 Abigail Johnson	 Female	 White	 College graduate	 32 years old	 Marketing executive	 Catholic	 Democrat
297	 Sophie Thompson	 Female	 White	 College graduate	 30 years old	 Marketing Manager	 Non-religious	 Democrat
298	 Sandra Lee	 Female	 Asian	 Bachelor's degree	 32 years old	 Marketing Manager	 Buddhist	 Liberal
299	 Samantha Thomas	 female	 White	 Bachelor's degree in nursing	 32 years old	 Registered Nurse	 non-religious	 liberal
300	 Maya Patel	 female	 Asian	 Bachelor's degree in Computer Science	 28 years old	 Software Engineer	 Hindu	 Democrat
301	 Emma Johnson	 Female	 White	 Bachelor's Degree	 32 years old	 Software Engineer	 Agnostic	 Democrat
302	 Emily Williams	 Female	 Caucasian	 Bachelor's Degree	 25 years old	 Marketing professional	 Christian	 Democrat
303	 Johnson	 Female	 White	 Bachelor's Degree in Biology	 35 years old	 Clinical Researcher	 Buddhist	 Democrat
304	 Smith	 female	 Black	 college	 32 years old	 teacher	 Christian	 moderate Democrat
305	 Kennedy Adams	 Female	 Black	 College Graduate	 35 years old	 Office Manager	 Methodist	 Democrat
306	 Ellen Johnson	 Female	 African American	 Bachelor's degree in healthcare	 55 years old	 healthcare worker	 Catholic	 Democratic
307	 Kennedy Thompson	 Female	 White	 Bachelor's degree	 32 years old	 Teacher	 Christian	 Democrat
308	 Emma Turner	 Female	 White	 Bachelor's Degree	 35 years old	 Lawyer	 Episcopalian	 Democratic
309	 Johnson	 female	 white	 college graduate	 52 years old	 healthcare worker	 catholic	 democrat
310	 Jasmine Johnson	 female	 African American	 Bachelor's degree	 28 years old	 Marketing professional	 Christian	 liberal
311	 Karen Johnson	 Female	 White	 Bachelor's Degree	 52 years old	 Scientist	 Jewish	 Democrat
312	 Samantha Thompson	 female	 White	 Bachelor's degree in nursing	 38 years old	 nurse	 Methodist	 Democrat
313	 Olivia King	 female	 White	 Bachelor's degree in nursing	 35 years old	 nurse	 Methodist	 liberal
314	 Emma Johnson	 Female	 White	 College Degree	 27 years old	 Software Engineer	 Catholic	 Liberal
315	 Maya Patel	 female	 Asian	 Master's degree	 28 years old	 Healthcare worker	 Hindu	 Liberal
316	 Samantha Lee	 female	 Asian	 college graduate	 35 years old	 scientist	 Buddhist	 Democrat
317	 Taylor Mitchell	 Female	 White	 Bachelor's degree	 28 years old	 marketing professional	 Methodist	 moderate Democrat
318	 Linda Garcia	 Female	 Asian	 Bachelor's Degree	 38 years old	 Registered Nurse	 Catholic	 Democratic
319		 Female	 African American	 College Degree	 35 years old	 Small business owner	 Christianity	 Liberal
320	 Johnson	 Female	 African American	 Bachelor's Degree	 52 years old	 Senior manager at a consulting firm	 Christianity	 Democrat
321	 Smith	 female	 Black	 College Degree	 55 years old	 business owner	 Non affiliated	 democrat
322	 Rachel Jackson	 Female	 White	 Bachelor's degree in Nursing	 35 years old	 Nurse	 Catholic	 Democrat
323	 Williams Johnson	 Male	 White	 Bachelor's degree in Biology	 55 years old	 CEO of a Pharmaceutical company	 Agnostic	 Liberal
324	 Julia Rodriguez	 Female	 Hispanic	 College Graduate	 35 years old	 Teacher	 Catholic	 Democratic
325	 Johnson	 female	 Black	 Bachelor's degree	 32 years old	 College Professor	 Christian	 liberal
326	 Eleanor Green	 Female	 African American	 Bachelor's degree	 35 years old	 Psychologist	 Christian	 Liberal
327	 Susan Kim	 Female	 Asian	 College Degree	 28 years old	 Software Engineer	 Buddhist	 Liberal
328	 Taylor Smith	 Female	 White	 Bachelor's degree in Science	 35 years old	 Software engineer	 Christian	 Democratic
329	 Johnson	 Female	 African American	 Bachelor's degree in healthcare	 28 years old	 registered nurse	 Christian	 Democrat
330	 Kennedy Scott	 Female	 African American	 Bachelor's degree	 32 years old	 Lawyer	 Christianity	 Democrat
331	 Smith	 Female	 White	 Bachelor's Degree	 32 years old	 Marketing Manager	 Non-denominational	 Democrat
332	 Emma Rodriguez	 Female	 Hispanic	 Bachelor's degree in nursing	 35 years old	 nurse	 Catholic	 Democrat
333	 Thompson	 Female	 White	 Bachelor's degree	 55 years old	 healthcare worker	 Baptist	 Democrat
334	 Maya Johnson	 Female	 Black	 Bachelor's degree	 28 years old	 Management Consultant	 Baptist	 Liberal
335	 Johnson	 female	 white	 Bachelor's degree	 50 years old	 computer scientist	 agnostic	 liberal
336	 Samantha Chen	 female	 Asian	 Bachelor's degree	 29 years old	 Accountant	 Buddhist	 Democratic
337	 Lily Johnson	 female	 White	 Bachelor's degree in science	 35 years old	 Environmental scientist	 Christianity	 liberal
338	 Kim Nakamura	 Female	 Asian	 Bachelor's Degree in Biology	 35 years old	 Software Engineer	 Buddhist	 Democrat
339	 Jackson Williams	 Female	 African American	 Bachelor's Degree	 28 years old	 HR Specialist	 Christian	 Democrat
340	 Sarah Lee	 female	 Asian	 Bachelor's degree	 30 years old	 Doctor	 Non-religious	 Liberal
341	 Lily Davis	 Female	 White	 Bachelor's degree	 32 years old	 Software Engineer	 Agnostic	 Democratic
342	 Jennifer Lee	 female	 Asian	 Bachelor's degree in Computer Science	 32 years old	 Software Engineer	 Buddhist	 Democratic
343	 Taylor Jones	 Female	 Black	 College Degree	 30 years old	 Marketing Manager	 Agnostic	 Democratic
344	 Sarah Johnson	 Female	 White	 Bachelor's degree in Biology	 35 years old	 Research Scientist	 Non-Religious	 Moderate Democrat
345	 Emily Chen	 female	 Asian	 Bachelor's degree	 27 years old	 Marketing professional	 Christian	 Liberal
346	 Johnson	 Female	 African American	 College Degree	 35 years old	 Business Executive	 Christian	 Liberal
347	 Lee Smith	 Female	 White	 Bachelor's degree	 28 years old	 Software engineer	 Protestant	 Democrat
348	 Smith	 female	 African American	 Master's degree in Public Health	 35 years old	 healthcare worker	 Christian	 Democrat
349	 Smith	 female	 White	 Bachelor's degree	 27 years old	 Marketing professional	 agnostic	 Democrat
350	 James Williams	 Male	 African American	 Bachelor's degree	 65 years old	 Retired businessman	 Christianity	 Democratic
351	 Jennifer Smith	 female	 white	 College	 32 years old	 Marketing professional	 Protestant	 Democrat
352	 Johnson Smith	 Female	 White	 Bachelor's Degree	 55 years old	 Senior Management Executive	 Catholic	 Democratic
353	 Sarah Kim	 female	 Asian	 Bachelor's Degree in Biology	 28 years old	 Research Scientist	 Buddhist	 Democratic
354	 Kelly Adams	 Female	 White	 College Graduate	 35 years old	 School Teacher	 United Methodist	 Democratic
355	 Taylor Lee	 female	 Asian	 college graduate	 28 years old	 teacher	 Catholic	 liberal
356	 Jasmine Patel	 female	 Asian	 College degree	 28 years old	 Software Engineer	 Hindu	 Liberal
357	 Smithson,	 female,	 white,	 Bachelor's degree,	 58 years old,	 physician,	 Episcopal,	 moderate Democrat.
358	 Samantha Rodriguez	 Female	 Hispanic	 Bachelor's degree in science	 35 years old	 Biotechnology researcher	 Non-practicing Catholic	 Democrat
359	 Johnson Smith	 female	 white	 college	 35 years old	 lawyer	 Christian	 liberal
360	 Johnson	 Female	 White	 Bachelor's degree in Science	 55 years old	 Research Scientist	 Catholic	 Liberal
361	 Sarah Johnson	 Female	 White	 Bachelor's Degree	 28 years old	 Software Engineer	 Christianity	 Democrat
362	 Smith	 Female	 White	 Bachelor's Degree	 55 years old	 Business Owner	 Christian	 Democrat
363	 Elizabeth Green	 Female	 White	 Bachelor's degree	 50 years old	 retired accountant	 religiously unaffiliated	 liberal
364	 Sarah Johnson	 female	 White	 Master's Degree	 35 years old	 healthcare worker	 Christian	 liberal
365	 Emily Davis	 Female	 White	 Bachelor's Degree in Biology	 28 years old	 Teacher	 Christian	 Democratic
366	 Smith	 female	 White	 college graduate	 35 years old	 engineer	 Protestant	 liberal
367	 Ava Brown	 Female	 African American	 Bachelor's Degree in Health Science	 35 years old	 Healthcare Worker	 Christian	 Democratic
368	 Adams Miller	 Male	 Caucasian	 Bachelor's degree in Biology	 38 years old	 Software Engineer	 Christian	 Democratic
369	 Elizabeth Lee	 Female	 Asian	 Bachelor's Degree in Nursing	 50 years old	 Nurse	 Methodist	 Democratic
370	 Maya Davis	 Female	 African American	 Bachelor's Degree in Biology	 35 years old	 Environmental Scientist	 Unknown	 Moderate
371	 Maria Hernandez	 Female	 Hispanic	 Bachelor's Degree	 35 years old	 Teacher	 Catholic	 Moderate Democrat
372	 Lauren Thomas	 female	 White	 Bachelor's degree	 28 years old	 Registered Nurse	 Catholic	 liberal
373	 Sarah Johnson	 female	 White	 Bachelor's degree in Marketing	 35 years old	 Marketing Manager	 Catholic	 Liberal
374	 Svetlana Petrova	 female	 Caucasian	 Bachelor's degree	 35 years old	 Research scientist	 Catholic	 liberal
375	 Mary Johnson	 Female	 African American	 Bachelor's degree	 50 years old	 Software Engineer	 Protestant	 Democratic
376	 Samantha Johnson	 Female	 White	 Bachelor's degree	 27 years old	 office worker	 Methodist	 Democrat
377	 Smith	 Female	 White	 Bachelor's degree in Biology	 32 years old	 Nurse	 Non-denominational	 Liberal
378	 Olivia Brown	 female	 White	 Bachelor's degree	 30 years old	 biologist	 agnostic	 liberal
379	 Thompson	 Female	 African American	 College degree in Nursing	 35 years old	 Nurse	 Christian	 Democrat
380	 Dr. Brown	 Female	 White	 Doctoral (PhD)	 55 years old	 medical researcher	 Jewish	 Liberal
381	 Emily Baker	 female	 white	 Master's Degree in science	 35 years old	 biomedical researcher	 Unitarian	 liberal
382	 Sarah Jones	 female	 Black	 Bachelor's degree	 28 years old	 HR professional	 Methodist	 Democrat
383	 Smith	 Female	 White	 Bachelor's Degree	 50 years old	 Healthcare worker	 Protestant	 Democrat
384	 Samantha Lewis	 female	 white	 Bachelor's degree	 32 years old	 teacher	 Jewish	 liberal
385	 Jenna Chen	 Female	 Asian	 Bachelor's degree in Computer Science	 35 years old	 Software Engineer	 Buddhist	 Liberal
386	 Johnson	 Female	 White	 Bachelor's degree	 25 years old	 School teacher	 Protestant	 Democrat
387	 Patricia Chen	 female	 Asian	 Bachelor's degree	 27 years old	 software engineer	 Buddhist	 moderate Democrat
388	 Sarah Williams	 Female	 White	 College	 35 years old	 Teacher	 Catholic	 Democrat
389	 Brown	 female	 African American	 Bachelor's Degree	 35 years old	 registered nurse	 Christian	 liberal.
390	 Sarah Lee	 Female	 Asian	 Master's Degree	 28 years old	 Marketing Executive	 Buddhist	 Liberal
391	 Sarah Johnson	 Female	 White	 Bachelor's Degree	 35 years old	 healthcare worker	 Catholic	 Democratic
392	 Brown	 Female	 Asian	 Graduate	 27 years old	 Software Engineer	 Buddhist	 Liberal
393	 Elena Sanchez	 female	 White	 Bachelor's degree	 35 years old	 Nurse	 Catholic	 Democrat
394	 Sophie Johnson	 Female	 White	 Bachelor's Degree	 35 years old	 Lawyer	 Presbyterian	 Democrat
395	 Samantha Chen	 female	 Asian (78%) and Hispanic (71%) are the most likely to say yes to the vaccine. Black and White are about equally likely to say yes (68%).	 Bachelor's Degree	 28 years old	 Marketing professional	 Buddhist	 Democrat
396	 Anderson Brown	 female	 Black	 College	 25 years old	 Dentist	 Christianity	 Democratic
397	 Johnson	 female	 African American	 Bachelor's degree	 32 years old	 software engineer	 Christian	 Democrat
398	 Sariantha Kim	 Female	 Asian	 Bachelor's degree in Computer Science	 35 years old	 software engineer	 Baptist	 liberal
399	 Jennifer Kim	 Female	 Asian	 Bachelor's Degree	 25 years old	 Software Engineer	 Buddhist	 Moderate
400	 Johnson	 female	 White	 College	 55 years old	 Business Executive	 Non-Religious	 Democratic
401	 Kimberly Rodriguez	 Female	 Hispanic	 Bachelor's degree in nursing	 35 years old	 registered nurse	 Catholic	 liberal
402	 Susan Smith	 Female	 White	 Bachelor's degree in Biology	 32 years old	 Healthcare worker	 Christian	 Democrat
403	 Alexis White	 female	 White	 Bachelor's Degree	 27 years old	 Marketing Specialist	 Christian	 Moderate Republican
404	 Angela Lee	 Female	 White	 Bachelor's Degree	 25 years old	 Marketing Manager	 Protestant	 Democrat
405	 Emily Thomas	 female	 White	 Bachelor's Degree	 27 years old	 Marketing professional	 Agnostic	 Democrat
406	 Jackson Brown	 Male	 White	 Bachelor's degree	 32 years old	 Marketing Manager	 Christian	 Democrat
407	 Elizabeth Smith	 female	 White	 College	 35 years old	 Marketing manager	 Catholic	 Democrat
408	 Smith	 female	 White	 College	 35 years old	 Scientist	 Christian	 Democrat
409	 Johnson	 Female	 Black	 Bachelor's degree	 50 years old	 Graphic designer	 Christian	 Democrat
410	 Michael Lee	 male	 White	 Master's degree	 55 years old	 accountant	 Christian	 Liberal
411	 Alice Brown	 Female	 White	 Bachelor's Degree	 35 years old	 Graphic Designer	 Catholic	 Democrat
412	 Jackson Williams	 Female	 White	 Bachelor's degree	 32 years old	 Marketing Manager	 Christian	 Liberal
413	 Taylor Lee	 Female	 White	 College graduate	 32 years old	 Teacher	 Christianity	 Democrat
414	 Smith, Jennifer	 Female	 Caucasian	 Bachelor's degree	 55 years old	 Human Resources Manager	 Catholic	 Democratic
415	 Harper Johnson	 female	 Caucasian	 Bachelor's degree	 28 years old	 marketing professional	 non-denominational	 moderate Democrat
416	 Samantha Lee	 Female	 Asian	 Bachelor's degree	 27 years old	 Accountant	 Buddhist	 Democratic
417	 Michael Lee	 male	 Asian	 Bachelor's degree in computer science	 28 years old	 software developer	 Buddhist	 Democratic
418	 Sarah Lee	 Female	 Asian	 College	 30 years old	 Marketing Manager	 Buddhist	 Liberal
419	 Ashley Park	 female	 Asian	 College degree	 32 years old	 teacher	 Buddhist	 liberal
420	 Claire Simmons	 female	 Caucasian	 Bachelor's degree	 35 years old	 Marketing Manager	 Baptist	 Democrat
421	 Chloe Kim	 female	 Asian	 College	 30 years old	 Sales representative	 Christian	 moderate Republican
422	 Martin Lee	 Female	 African American	 College Graduate	 52 years old	 Physician Assistant	 Methodist	 Democrat
423	 Johnson	 female	 White	 Bachelor's Degree	 35 years old	 medical assistant	 Christian	 Democrat
424								
425	 Brown	 female	 White	 Graduate degree	 35 years old	 Sales Manager	 Catholic	 Liberal
426	 Jane Hines	 Female	 White	 Bachelor's Degree in Biology	 55 years old	 Healthcare Professional	 Baptist	 Democrat
427	 Sarah Smith	 Female	 White	 Bachelor's Degree	 35 years old	 Marketing Manager	 Christian	 Democrat
428	 James Thomas	 Male	 White	 Bachelor's Degree in Biology	 55 years old	 Manager in a scientific research company	 United Methodist	 Liberal
429	 Miller	 female	 white	 graduate	 35 years old	 Marketing Manager	 Catholic	 moderate
430	 Smith	 Female	 White	 Bachelor's degree	 32 years old	 IT Manager	 Methodist	 Democrat
431	 Chen Wei	 female	 Asian	 Bachelor's degree	 38 years old	 Software engineer	 Buddhist	 Liberal
432	 Smith	 Female	 White	 Bachelor's degree	 35 years old	 Marketing executive	 Baptist	 Democrat
433	 Emily Smith	 female	 white	 college	 25 years old	 scientist	 protestant	 liberal
434	 Sara Johnson	 Female	 White	 Bachelor's Degree	 25 years old	 Marketing Specialist	 Protestant	 Moderate
435	 Sarah Patel	 female	 Indian	 Bachelor's degree in Science	 29 years old	 Research scientist	 Hindu	 Democratic
436	 Johnson	 Female	 White	 Bachelor's degree	 35 years old	 Software Engineer	 Christian	 Democrat
437	 Taylor Adams	 Female	 Black	 Bachelor's Degree	 32 years old	 Biologist	 Methodist	 Democratic
438	 Kim Johnson	 female	 white	 Bachelor's degree	 50 years old	 nurse	 Christian	 Democratic
439	 Sarah Lee	 Female	 Asian	 Bachelor's degree in Biology	 30 years old	 Environmental scientist	 Buddhist	 Liberal
440	 Sarah Williams	 Female	 White	 Bachelor's degree in Healthcare Management	 35 years old	 Nurse	 Agnostic	 Liberal
441	 Jackson Lewis	 male	 African American	 college	 35 years old	 engineer	 Protestant	 liberal
442	 Sarah Smith	 female	 white	 Bachelor's degree	 35 years old	 software engineer	 Protestant	 Democratic
443	 Ryan Jones	 Female	 White	 Bachelor's degree in Business Administration	 32 years old	 Sales manager	 Catholic	 Democrat
444	 Emily Green	 Female	 White	 Bachelor's degree	 35 years old	 Sales representative	 Methodist	 Moderate Republican
445	 Victoria Chen	 Female	 Asian	 Bachelor's degree	 28 years old	 Marketing Manager	 Buddhist	 Moderate
446	 Thompson	 female	 Caucasian	 Bachelor's degree	 35 years old	 teacher	 Christian	 Democrat
447	 Johnson	 female	 white	 Bachelor's degree	 35 years old	 Software engineer	 Baptist	 Moderate Republican
448	 Ava Brown	 female	 White	 Bachelor's degree	 32 years old	 data analyst	 Methodist	 Democrat
449	 Collins Williams	 female	 Black	 Bachelor's Degree in Biology	 32 years old	 Research Scientist	 Christian	 Democrat
450	 Olivia Jackson	 Female	 White	 Bachelor's Degree	 35 years old	 Software Engineer	 Christianity	 Democrat
451	 Johnson Smith	 Female	 White	 Bachelor's Degree	 28 years old	 Technology Company Executive	 Non-religious	 Democratic
452	 Johnson Williams	 Female	 White	 Bachelor's degree	 35 years old	 Biomedical researcher	 Methodist	 Democrat
453	 Michelle Johnson	 female	 African American	 Bachelor's degree	 52 years old	 professor	 Christian	 Democrat
454	 Rodriguez, Maria	 Female	 Hispanic	 Bachelor's Degree in Public Health	 52 years old	 Public Health Consultant	 Catholic	 Democratic
455	 Samuel Smith	 Male	 African American	 Bachelor's Degree in Engineering	 32 years old	 Software Engineer	 Christianity	 Democratic
456	 Olivia Johnson	 Female	 African American	 College	 30 years old	 Marketing Specialist	 Methodist	 Democratic
457	 Patricia Williams	 female	 white	 Bachelor's degree in nursing	 38 years old	 nurse	 Catholic	 liberal
458	 Maria Rodriguez	 Female	 Hispanic	 Bachelor's degree	 28 years old	 Marketing professional	 Catholic	 Democratic
459	 Elena Martinez	 female	 White	 Bachelor's degree in public health	 32 years old	 Public health consultant	 Agnostic	 Democrat
460	 Sarah Johnson	 Female	 White	 Bachelor's Degree in Science	 25 years old	 Biotechnologist	 Agnostic	 Democrat
461	 Sarah Johnson	 Female	 White	 Bachelor's degree in nursing	 35 years old	 Nurse	 Catholic	 Democrat
462	 Smith	 female	 African American	 College degree	 28 years old	 software engineer	 Baptist	 Democratic
463	 Smith	 female	 White	 Bachelor's degree	 35 years old	 Marketing professional	 Christian	 Democrat
464	 Sarah Smith	 Female	 White	 Bachelor's degree	 35 years old	 Software Engineer	 Catholic	 Liberal
465	 Jennifer Smith	 Female	 White	 Bachelor's degree	 35 years old	 Dentist	 Christian	 Democrat
466	 Ryan Johnson	 male	 White	 College	 35 years old	 marketing executive	 Protestant	 Democratic
467	 Samantha Adams	 Female	 African American	 Bachelor's degree	 32 years old	 Nursing student	 Roman Catholic	 Democratic
468	 Kim Rodriguez	 Female	 Hispanic	 Bachelor's degree	 30 years old	 Marketing professional	 Catholic	 Democrat
469	 Smith	 Female	 White	 College	 55 years old	 Nurse	 Catholic	 Democrat
470	 Lisa Lee	 female	 Asian	 college degree	 32 years old	 medical researcher	 Buddhist	 Democratic
471	 Maria Rodriguez	 Female	 Hispanic	 Bachelor's degree in nursing	 38 years old	 Nurse	 Catholic	 Democrat
472	 Susan Patel	 Female	 Asian	 Bachelor's Degree in Nursing	 55 years old	 Nurse	 Hindu	 Democrat
473	 John Anderson	 male	 White	 Higher levels of education are often associated with higher rates of vaccination. People with higher levels of education are more likely to have access to information and to be more cautious about public health.	 Older age groups are more likely to be at risk of severe COVID-19 and therefore more likely to want to get vaccinated. Additionally, older people tend to be more trusting of public health authorities and more likely to comply with recommendations.	 People in the health care industry, such as computer scientists, are more likely to be at risk of exposure to COVID-19 and therefore more likely to want to get vaccinated. Additionally, computer scientists tend to be more fact-based and more likely to trust scientific evidence.	 People who identify as liberal tend to be more trusting of scientific evidence and more likely to adhere to public health recommendations. Additionally, atheism is often associated with a more rational and science-based worldview.	 People who identify as left-leaning tend to be more trusting of public health authorities and more likely to adhere to public health recommendations. Additionally, left-leaning individuals tend to prioritize the well-being of others and are more likely to want to protect themselves and others by getting vaccinated.
474	 Johnson	 female	 White	 Bachelor's degree	 50 years old	 Doctor	 Non-denominational Christian	 Democrat
475	 Johnson	 Female	 White	 Bachelor's Degree	 32 years old	 School Teacher	 Christian	 Democrat
476	 Johnson	 female	 African American	 Master's degree	 35 years old	 Teacher	 Christian	 Liberal
477	 Johnson Brown	 Female	 African American	 Bachelor's degree	 35 years old	 Teacher	 Episcopalian	 Democrat
478	 Johnson	 Female	 White	 Bachelor's Degree	 25 years old	 Software Engineer	 Episcopalian	 Democrat
479	 Emily Taylor	 Female	 Caucasian	 College	 35 years old	 Marketing Manager	 Catholic	 Democrat
480	 Andrew Kim	 Male	 White	 Bachelor's Degree	 38 years old	 Marketing Manager	 Christian	 Liberal
481	 Sarah Johnson	 female	 White	 College graduate	 28 years old	 software developer	 Roman Catholic	 Democrat
482	 Johnson	 female	 White	 Bachelor's Degree	 35 years old	 health care worker	 Baptist	 moderate Democrat
483	 Emily Adams	 female	 white	 Bachelor's degree	 28 years old	 Marketing professional	 Methodist	 Democrat
484	 Smith	 Female	 White	 College	 55 years old	 Teacher	 Christian	 Democratic
485	 Claire Anderson	 female	 White	 Bachelor's degree	 32 years old	 Nurse	 Catholic	 Liberal
486	 Lauren Johnson	 Female	 Black	 Bachelor's Degree in Business Administration	 27 years old	 Small Business Owner	 Christian	 Democrat
487	 Ella Johnson	 Female	 White	 Bachelor's degree in nursing	 55 years old	 Registered nurse	 Protestant	 Democrat
488	 William Longacre	 male	 White	 Bachelor's degree in Computer Science	 34 years old	 Software Developer	 non-religious	 liberal
489	 Patricia Mitchell	 female	 White	 Bachelor's degree in Nursing	 55 years old	 RN	 Christian	 Democrat
490	 Emily Chen	 female	 Asian	 Bachelor's degree in Computer Science	 28 years old	 Software Engineer	 Buddhist	 liberal
491	 Lee Johnson	 Female	 Black	 Bachelor's Degree in Psychology	 52 years old	 Research Scientist	 Christian	 Democratic
492	 Thompson	 Female	 White	 Bachelor's Degree	 52 years old	 Accountant	 Catholic	 Democratic
493	 Abigail Adams	 female	 White	 College degree	 62 years old	 Retired Marketing Executive	 Protestant	 Liberal Democrat
494	 Olivia Taylor	 Female	 African American	 College Degree in Nursing	 32 years old	 Nurse	 Christian	 Democratic
495	 Michelle Chen	 female	 Asian	 Bachelor's Degree	 30 years old	 Software Engineer	 Christianity	 Democratic
496	 Smith	 Female	 White	 Bachelor's Degree	 52 years old	 Business Owner	 Methodist	 Democrat
497	 Jane Johnson	 Female	 White	 Bachelor's Degree	 35 years old	 Marketing Manager	 Christian	 Democrat
498	 Jasmine Green	 female	 Black	 Bachelor's degree	 32 years old	 Marketing Manager	 Christianity	 Democrat
