	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
279	 Sarah Williams	 Female	 Caucasian	 college dropout	 28 years old	 stay-at-home mom	 evangelical christian	 conservative
280	 Sophia Jones	 Female	 White	 College Degree	 25 years old	 Retail Worker	 Mormon	 Right-wing conservative
281	 Smith	 male	 white	 Graduated from a 4-year college	 65 years old	 small business owner	 evangelical Christian	 conservative
282	 Hannah Thompson	 female	 white	 home schooled	 35 years old	 stay-at-home mom	 conservative christian	 heavily skewed towards the Republican party
283	 Williams Johnson	 male	 Black	 College Dropout	 35 years old	 Gas station worker	 Pentecostalist	 Right-wing
284	 Sawyer Miles	 Female	 White	 College Degree	 27 years old	 Self-employed business owner	 Fundamentalist Christian	 Republican
285	 Turner	 male	 White	 Bachelor's degree in Business Administration	 55 years old	 small business owner	 Fundamentalist Christian	 conservative
286	 Jessica Lewis	 Female	 White	 College education (bachelor's degree)	 35 years old	 Small business owner	 Protestant	 Moderate
287	 Jenkins	 female	 White	 Bachelor's degree in business administration	 25 years old	 Stay-at-home mom	 Christian	 Libertarian
288	 Tyler Cole	 Male	 White	 Some college education	 32 years old	 Small business owner	 Christian (conservative)	 Republican
289	 Smith	 Male	 White	 High School	 38 years old	 small business owner	 Pentecostal Christian	 Republican
290	 Smith Johnson	 Female	 White	 High School dropout	 32 years old	 Small business owner	 evangelical Christian	 conservative
291	 Emma Smith	 female	 white	 college graduate	 35 years old	 yoga instructor	 Christianity	 conservative
292	 Brandon Lewis	 Male	 White	 Bachelor's Degree in Business Administration	 28 years old	 Small business owner	 Baptist	 Republican
293	 Lee Davis	 male	 White	 College Dropout	 28 years old	 Construction Worker	 Evangelical Christian	 Republican
294	 Emily Williams	 Female	 White	 Bachelor's degree in nursing	 55 years old	 retired nurse	 Christian	 Conservative
295	 Sarah Johnson	 female	 White	 College	 35 years old	 marketing executive	 Baptist	 conservative
296	 Jack Miller	 Male	 White	 College	 35 years old	 Work from home worker	 Christian (right-wing)	 Very conservative
297	 Elizabeth Nelson	 female	 Caucasian	 some college	 32 years old	 Stay-at-home mom	 Christian	 conservative
298	 Ryan Tudor	 Male	 White	 Bachelor's degree in Engineering	 50 years old	 Civil Engineer	 Christian (Evangelical)	 Conservative
299	 Amy Lee	 Female	 White	 Bachelor's Degree	 28 years old	 Small business owner	 Christian	 Conservative
300	 Kim Johnson	 female	 White	 Bachelors degree	 27 years old	 teacher	 Christian	 conservative
301	 Lisa Adams	 female	 White	 High School	 55 years old	 homemaker	 Evangelical Christian	 Republican
302	 John Smith	 male	 white	 college dropout	 38 years old	 construction worker	 Baptist	 Republican
303	 Sara Jameson	 Female	 White	 Bachelor's Degree	 52 years old	 Business Owner	 Christian	 Republican
304	 Blake Johnson	 male	 white	 College (but didn't graduate)	 28 years old	 factory worker	 evangelical christian	 conservative
305	 Rachel Johnson	 Female	 White	 GED	 35 years old	 Hospitality worker	 Baptist	 Trump supporter
306	 Thomas Smith	 Male	 White	 High School Diploma	 60 years old	 Truck driver	 Catholic	 Conservative
307	 Sarah Johnson	 female	 White	 Bachelor's Degree	 35 years old	 Healthcare worker	 Christian	 conservative
308	 Claire Jenkins	 female	 White	 College Dropout	 38 years old	 Small business owner	 Evangelical Christian	 Conservative
309	 Emma Taylor	 Female	 White	 High School	 27 years old	 Retail employee	 Evangelical Christian	 Conservative
310	 Simone Thomas	 female	 African American	 Some College	 32 years old	 self-employed stay-at-home mom	 Pentecostal Christian	 Conservative
311	 Bethany Thomas	 Female	 White	 Some college education	 25 years old	 Construction worker	 Born-again Christian	 Trump supporter
312								
313	 Smith	 female	 white	 some college education	 50 years old	 store owner	 Evangelical Christian	 conservative
314	 Samantha Thomas	 female	 White	 College education (4-year)	 35 years old	 Vlogger	 Fundamentalist	 Conservative
315	 Sarah Thomas	 female	 White	 College	 35 years old	 Freelance Graphic Designer	 Protestant	 conservative
316	 Danielle Smith	 female	 White	 College	 32 years old	 Software Engineer	 Christian	 Conservative
317	 Sara Adams	 female	 White	 College	 25 years old	 construction worker	 Christian	 Conservative
318	 Smith	 male	 White	 College	 50 years old	 retired	 Evangelical Christian	 conservative
319	 Johnson Smith	 male	 Caucasian	 High School	 38 years old	 Small business owner	 Christian	 Right-wing
320	 Jennifer Johnson	 female	 White	 College	 30 years old	 Graphic designer	 Protestant	 Right-leaning
321	 N/A	 Female	 White	 Bachelor's Degree	 60 years old	 Business Owner	 Evangelical	 Conservative
322	 Smith	 Male	 White	 Associate's Degree	 55 years old	 Retired	 Evangelical Christian	 conservative
323	 Taylor Watson	 female	 white	 high school dropout	 32 years old	 part-time caregiver	 baptist	 republican
324	 Kennedy Smith	 female	 White	 College (Did not complete degree)	 38 years old	 small business owner	 Baptist	 Republican
325	 Scott Johnson	 male	 White	 College	 50 years old	 construction worker	 Christian	 Conservative
326	 Patricia Thompson	 female	 White	 College graduate	 52 years old	 business owner	 Christian	 Republican
327	 Tyler Cooper	 Male	 White	 College education	 32 years old	 freelance writer	 Southern Baptist	 leaning right. He views conspiracy theories that point to the perceived negative effects of the Covid-19 vaccines, seeing them as credible sources of information. He has a close family with members who are close to anti-vaccination conspiracy theorists and therefore trusts them. He is skeptical about the government’s intent and past actions regarding vaccines.
328	 Lena Thomas	 female	 white	 bachelor's degree in science	 28 years old	 healthcare professional	 Jehovah's Witness	 conservative
329	 Smith	 male	 white	 high school dropout	 32 years old	 construction worker	 conservative evangelical Christian	 strongly conservative
330	 John Thompson	 Male	 White	 None	 32 years old	 Construction worker	 None	 None
331	 Kennedy Smith	 female	 White	 High School	 38 years old	 stays-at-home mom	 Evangelical Christian	 moderate Republican
332	 Patricia Johnson	 female	 White	 Some college	 55 years old	 Retired healthcare worker	 Baptist	 Republican
333	 James Lee	 male	 Asian	 Bachelor's degree	 35 years old	 business owner	 Baptist	 conservative
334	 James Baker	 male	 White	 High School	 62 years old	 Mechanic	 Christian (evangelical)	 conservative
335	 Emily Thomas	 female	 White	 College degree in Political Science	 28 years old	 Small business owner	 Protestant	 Republican
336	 Mckenzie Johnson	 Female	 White	 College Dropout	 28 years old	 Part-time employee	 Christian	 Conservative
337	 James Jackson	 male	 White	 College dropout	 52 years old	 self-employed	 Christian	 conservative
338	 Sarah Smith	 Female	 White	 College	 35 years old	 Homemaker	 Christian	 Republican
339	 Emily Green	 female	 White	 Home-schooled	 25 years old	 small business owner	 Christian fundamentalist	 Republican
340	 Sarah Collins	 female	 White	 High School	 25 years old	 waitress	 Non-religious	 libertarian
341	 Jack White	 male	 White	 college dropout	 38 years old	 factory worker	 Protestant	 conservative
342	 Ryan Smith	 male	 white	 High School	 50 years old	 machine operator	 Pentecostal	 conservative
343	 Evans Johnson	 Male	 White	 Some College	 55 years old	 retired	 Baptist	 conservative
344	 Jill Scott	 female	 White	 some college	 32 years old	 salesperson	 Pentecostal	 conservative
345	 Smith	 male	 Caucasian	 College dropout	 35 years old	 convenience store clerk	 evangelical Christian	 conservative
346	 Marcus Johnson	 Male	 African American	 Some College	 50 years old	 T-shirt retailer	 Evangelical Christian	 Moderate
347	 Miley Miller	 female	 White	 some college	 38 years old	 stay-at-home mom	 Baptist	 conservative
348	 Jack Smith	 male	 White	 none	 65 years old	 small business owner	 Christian	 right-wing
349	 Sophia Rodriguez	 Female	 White	 college dropout	 30 years old	 in-home daycare provider	 evangelical Christian	 Republican
350	 Taylor Anderson	 Female	 White	 Graduate degree	 38 years old	 IT professional	 Christian fundamentalist	 Right-leaning
351	 Ms. Patricia Adams	 Female	 African American	 High School Diploma	 52 years old	 Nurse's Aide	 Evangelical Christian	 Conservat
352	 Mark Johnson	 male	 White	 High School Diploma	 52 years old	 self-employed contractor	 Baptist	 conservative
353	 Elizabeth Johnson	 Female	 White	 Bachelor's Degree in Nursing	 52 years old	 Stay-at-home Mom	 Christian	 Conservative
354	 Tina Johnson	 female	 White	 some college	 27 years old	 waitress	 Christian	 conservative
355	 Samuel Johnson	 Male	 African American	 College	 28 years old	 Service Industry worker	 Evangelical Christian	 Conservative
356	 Smith	 male	 White	 College	 55 years old	 Construction worker	 Baptist	 Conservative
357	 Sarah Thomas	 Female	 White	 College Dropout	 38 years old	 Stay-at-home Mom	 Christian	 Conservative
358	 Emily Smith	 female	 White	 College	 25 years old	 stay-at-home mom	 Christian	 conservative
359	 Mark Kim	 male	 Asian	 bachelor's degree in science	 32 years old	 small business owner	 Catholic	 conservative
360	 Johnson Smith	 Male	 White	 College graduate	 32 years old	 business owner	 Christian	 conservative
361	 John Williams	 Male	 White	 Bachelor's degree in Science	 60 years old	 Accountant	 Evangelical Christian	 Conservative
362	 Johnson Lee	 male	 White	 college dropout	 27 years old	 factory worker	 agnostic	 conservative
363	 James Smith	 Male	 White	 Bachelor's Degree	 35 years old	 Entrepreneur/Business Owner	 Evangelical Christian	 Conservative
364	 Johnson Smith	 male	 African American	 Bachelor's degree	 28 years old	 construction worker	 Jehovah's Witness	 libertarian
365	 Sarah	 female	 White	 college degree	 30 years old	 stay-at-home mom	 Pentecostal	 conservative
366	 Smith	 female	 White	 High School Diploma	 55 years old	 Independent Contractor	 Mormon	 Liberal
367	 Johnson Lee	 male	 white	 college graduate	 30 years old	 software developer	 evangelical christian	 republican
368	 Johnson	 male	 Caucasian	 college graduate	 55 years old	 corporate lawyer	 evangelical Christian	 Republican
369	 Miller Johnson	 female	 White	 Bachelor's degree	 38 years old	 small business owner	 Baptist	 conservative
370	 Taylor Miller	 female	 White	 High School	 32 years old	 stay-at-home mom	 Evangelical	 conservative
371	 Karen Peterson	 female	 White	 College	 55 years old	 homemaker	 Evangelical	 conservative
372	 Johnson Smith	 female	 White	 University	 28 years old	 artist	 n/a	 anti-vaccination movement supporter
373	 James Brown	 male	 African American	 College	 62 years old	 construction worker	 Christian	 conservative
374	 Sarah Young	 Female	 White	 College	 35 years old	 Waitress	 Catholic	 Republican
375	 Emily Smith	 female	 White	 College	 30 years old	 Housewife	 Christian	 Conservative
376	 Johnson	 female	 white	 college	 55 years old	 hairdresser	 fundamentalist Christian	 Republican
377	 Sarah Rodriguez	 female	 Hispanic	 High School	 35 years old	 nurse	 Methodist	 libertarian
378	 Kimberly Smith	 Female	 White	 Bachelor's Degree in Marketing	 28 years old	 small business owner	 Baptist	 Conservative
379	 Taylor Anderson	 Female	 White	 College	 32 years old	 independent contractor	 Christian	 Conservative
380	 Smith	 female	 white	 Bachelor's degree in Business Administration	 50 years old	 Small business owner	 Evangelical Christian	 conservative
381	 Joshua Williams	 male	 White	 High School dropout	 35 years old	 electrician	 conservative Christian	 staunch Republican
382	 Michael Johnson	 male	 White	 College	 55 years old	 Small business owner	 Christian	 Republican
383	 Brittany Collins	 Female	 White	 High School	 25 years old	 server	 Baptist	 Libertarian
384	 Michael Johnson	 male	 white	 College dropout	 38 years old	 construction worker	 fundamentalist Christian	 Republican
385	 Ava Johnson	 female	 Black	 high school	 28 years old	 front-desk manager at a hotel	 Christianity	 conservative
386	 Johnson Smith	 female	 white	 college	 35 years old	 small business owner	 Christian	 conservative
387	 Jack Johnson	 male	 white	 High School	 60 years old	 construction worker	 Pentecostal	 right-wing conservative
388	 Taylor King	 female	 white	 Bachelor's degree	 58 years old	 Sales representative	 fundamentalist Christian	 right-leaning
389	 Victoria Parker	 female	 White	 College Graduate	 55 years old	 Stay-at-home mom	 Fundamentalist	 Conservative
390	 Ava Wahuppatzik	 female	 Native American	 High School	 28 years old	 construction worker	 none	 anti-vaccine
391	 Smith	 Female	 White	 Some College	 35 years old	 Small business owner	 Evangelical Christian	 Republican
392	 Adam Johnson	 male	 White	 High School	 38 years old	 construction worker	 Christian	 conservative
393	 Sarah Davis	 Female	 White	 Some college	 55 years old	 Small business owner	 Christian	 Libertarian
394	 Smith	 male	 Caucasian	 High School	 35 years old	 Electrician	 Baptist	 Conservative
395	 Evans Johnson	 male	 Black	 less than high school	 55 years old	 retiree	 Christian	 liberal
396	 Kim Johnson	 Female	 White	 Bachelor's degree in Computer Science	 32	 Software Engineer	 Christian	 Conservative
397	 James Smith	 male	 White	 GED	 55 years old	 Construction worker	 Baptist	 conservative
398	 Jones Doe	 male	 White	 High School	 32 years old	 stay-at-home parent	 Southern Baptist	 Conservative
399	 Jasmine Carter	 Female	 African American	 Some College	 27 years old	 n/a	 African Methodist Episcopal Church	 Republican
400	 Elizabeth Smith	 Female	 White	 High School dropout	 25 years old	 Small business owner	 Christian	 conservative
401	 Smith	 female	 White	 high school dropout	 50 years old	 accountant	 christian	 conservative
402	 Tiffany Thomas	 female	 African American	 Bachelor's Degree	 35 years old	 Salesperson	 Baptist	 Independent
403	 Donald Smith	 male	 White	 College	 65 years old	 Engineer	 Baptist	 Republican
404	 John	 male	 White	 some college education	 55 years old	 small business owner	 evangelical christian	 republican
405	 Emily Adams	 female	 White	 College	 38 years old	 marketing manager	 Christian	 Republican
406	 Alex Smith	 Male	 White	 Some college but no degree	 52 years old	 Unemployed	 Baptist	 Republican
407	 John Miller	 Male	 White	 High School	 32 years old	 Plumber	 Evangelical Christian	 Right-leaning. John believes that vaccines contain harmful chemicals and that the virus is less harmful than its side effects. He gets his news from Fox News and trusts his preacher more than public health experts.
408	 Davis	 Male	 White	 Bachelors degree	 50 years old	 Electrician	 Fundamentalist Christian	 Republican
409	 Rebecca Johnson	 Female	 White	 Bachelor's degree in Science	 50 years old	 Graphic Designer	 Protestant	 Conservative
410	 Stephen Adams	 male	 White	 Bachelor's degree	 60 years old	 IT consultant	 Christian (Reformed)	 conservative
411	 Jones	 Male	 White	 Bachelor's degree	 65 years old	 small business owner	 Christianity	 Republican
412	 Anderson	 male	 White	 Bachelor's Degree	 35 years old	 Web developer	 Baptist	 Republican
413	 Michael Smith	 male	 White	 Bachelor's degree in Business Administration	 62 years old	 Small business owner	 Independent Baptist	 Conservative
414	 William Hillman	 male	 white	 College	 35 years old	 accountant	 Christian	 Conservative
415	 Alex Jackson	 Male	 White	 Some College	 52 years old	 Electrician	 Baptist	 Conservative
416	 Daniel Johnson	 Male	 White	 College Dropout	 32 years old	 Small Business Owner	 Baptist	 Republican
417	 Carter Wallace	 male	 White	 Bachelor's degree	 52 years old	 small business owner	 fundamentalist	 conservative
418	 Samantha Miller	 Female	 White	 GED	 38 years old	 stay-at-home mom	 Evangelical Christian	 Republican
419	 Laura Lee	 female	 White	 College dropout	 29 years old	 stay-at-home mom	 Christian fundamentalist	 Republican
420	 John Smith	 male	 White	 Bachelor's Degree	 52 years old	 Self-employed	 Evangelical Christian	 Republican
421	 Samuel Johnson	 male	 white	 College	 35 years old	 truck driver	 evangelical Christian	 Republican
422	 Clark	 Female	 White	 Bachelor's Degree	 50 years old	 Small business owner	 Baptist	 conservative
423	 Sarah Jenkins	 female	 white	 some college	 52 years old	 small business owner	 evangelical Christian	 Republican
424	 Thomas Jones	 Male	 White	 GED	 38 years old	 truck driver	 Baptist	 Republican
425	 Melanie Carter	 Female	 African American	 Bachelor's degree in Business Administration	 52 years old	 Business Owner	 Baptist	 Conservative
426	 Jane Smith	 Female	 White	 College	 32 years old	 Nurse	 Evangelical Christian	 conservative
427	 Linda Johnson	 Female	 White	 High School Diploma	 65 years old	 Entrepreneur	 Evangelical Christian	 Republican
428	 Sarah Lee	 female	 White	 College graduate	 34 years old	 Small business owner	 Christian	 conservative
429	 Lisa Reed	 female	 White	 High School Diploma	 55 years old	 Retired	 Southern Baptist	 Trump supporter
430	 Smith	 male	 White	 College	 50 years old	 small business owner	 protestant	 conservative
431	 Susan Thompson	 female	 White	 Elementary school	 35 years old	 homemaker	 evangelical Christian	 conservative
432	 Johnson Smith	 male	 White	 University degree	 60 years old	 Realtor	 Evangelical Christian	 Republican
433	 Sarah Lewis	 Female	 White	 Associate's Degree	 50 years old	 Sales associate	 Christian	 Conservative
434	 Johnson	 male	 African American	 College	 25 years old	 Grocery store clerk	 Baptist	 Conservative
435	 Taylor Williams	 female	 White	 Some college education	 35 years old	 small business owner	 Pentecostal Christian	 Republican
436	 Davis	 male	 white	 Some College	 55 years old	 self-employed	 evangelical christian	 conservative
437	 Jack Johnson	 Male	 African American	 College	 50 years old	 Barber	 Evangelical Christian	 Conservative
438	 Jennifer Lee	 female	 Asian	 college education	 32 years old	 self-employed freelancer	 Buddhist	 conservative
439	 Alex Johnson	 Female	 Caucasian	 No college degree	 38 years old	 Office worker	 Christian	 Conservative
440	 Ashley Williams	 Female	 White	 college degree	 25 years old	 cosmetologist	 conservative evangelical	 Republican
441	 Sarah Collins	 Female	 White	 college graduate	 28 years old	 small business owner	 Protestant Christian	 conservative
442	 Daniel Peters	 Male	 White	 Collegiate degree in Business Administration	 38 years old	 Small business owner	 Evangelical Christian	 Conservative
443	 Franklin Johnson	 male	 African American	 Some college	 55 years old	 mechanic	 Baptist	 conservative
444	 James Allen	 Male	 White	 College dropout	 65 years old	 Business owner	 Catholic	 Conservative
445	 Johnson	 male	 White	 Bachelors' Degree	 65 years old	 Real Estate Agent	 Baptist	 Republican
446	 Smith	 Male	 White	 High School Dropout	 35 years old	 Small business owner	 Evangelical Christian	 Conservative
447	 Smith	 female	 White	 High School	 35 years old	 small business owner	 Christian	 Conservative
448	 Jake Johnson	 male	 White	 Bachelor's Degree	 52 years old	 Business owner	 Mormon	 conservative
449	 Sara Johnson	 Female	 White	 High School Diploma	 28 years old	 small business owner	 Christian Evangelical	 conservative
450	 John Smith	 male	 White	 Bachelor's degree in business	 62 years old	 small business owner	 evangelical Christian	 conservative
451	 Evans Green	 female	 White	 Bachelor's degree	 35 years old	 owner of a small business	 Baptist	 conservative
452	 Taylor Armstrong	 female	 White	 Elementary School	 27 years old	 construction worker	 Baptist	 conservative
453	 Sarah Williams	 Female	 White	 High School dropout	 27 years old	 waitress	 non-denominational Christian	 far-right
454	 Smith	 male	 white	 None	 62 years old	 Business Owner	 Baptist	 Right-wing leaning.
455	 Taylor Thomas	 Female	 White	 None (does not have a degree)	 30 years old	 House cleaner	" Spiritual (describes herself as ""into positive energy and uplifting things"")"	 Conservative (values individual freedom and personal responsibility)
456	 Johnson Smith	 Male	 White	 Bachelor's degree in Engineering	 50 years old	 Small business owner	 Baptist	 Republican
457	 Samantha Brown	 Female	 White	 Junior high school dropout	 27 years old	 service worker	 Evangelical	 Republican
458	 Johnson	 Male	 White	 High School Dropout	 38 years old	 Self-employed (small business owner)	 Christianity	 Right-leaning/Conservative
459	 Anna Johnson	 female	 White	 high school diploma	 38 years old	 homemaker	 Christian fundamentalist	 conservative
460	 Jessica Baker	 Female	 White	 High School	 35 years old	 stay-at-home mom	 Baptist	 Republican
461	 Emily Brown	 Female	 Caucasian	 Bachelor's degree	 27 years old	 stay-at-home mom	 fundamentalist Christian	 conservative
462	 Johnson Lee	 male	 Asian	 College	 27 years old	 Small business owner	 Conservative	 Conservative
463	 Jackson Brown	 male	 White	 College (Dropout)	 35 years old	 Mechanic	 Evangelical Christian	 Conservative
464	 Marcus Johnson	 Male	 White	 Bachelor's degree	 35 years old	 Small business owner	 Christian	 Republican
465	 Olivia Jackson	 Female	 White	 Bachelor's Degree	 35 years old	 Nurse	 Baptist	 Conservative
466	 Johnson Smith	 Male	 White	 None	 60 years old	 Retired Businessman	 Southern Baptist	 Conservative
467	 John Smith	 male	 White	 College degree	 62 years old	 Small business owner	 Baptist	 Conservative
468	 Ryan Johnson	 Male	 White	 High School	 35 years old	 construction worker	 Christian	 conservative
469	 Catherine Jones	 Female	 White	 College graduate	 55 years old	 Small business owner	 Baptist	 Republican
470	 Johnathan Williams	 Male	 White	 Some College	 55 years old	 Logistician	 Christian Evangelical	 Right-wing
471	 Emily Johnson	 Female	 White	 College	 25 years old	 Stay-at-home mom	 Baptist	 Republican
472	 Taylor Jenkins	 female	 White	 Some college	 32 years old	 Small business owner	 None	 Liberal
473	 Sarah Johnson	 Female	 White	 GED	 32 years old	 Stay-at-home mom	 Southern Baptist	 Conservative
474	 Lewis Turner	 male	 White	 some college	 35 years old	 electrician	 Christian	 Republican
475	 Richard Lee	 male	 white	 high school dropout	 50 years old	 blue-collar worker	 evangelical Christian	 Republican
476	 Johnson	 Male	 White	 Some college	 50 years old	 self-employed	 fundamentalist	 conservative
477	 Benjamin Price	 male	 white	 no college degree	 32 years old	 mechanic	 protestant Christian	 libertarian
478	 Jake Johnson	 Male	 White	 College education	 30 years old	 self-employed in sales	 Born again Christian	 Democrat. He says he is generally pro-vaccination but is hesitant to get the COVID-19 vaccine because of his belief in personal autonomy and mistrust of the government's ability to ensure the safety and efficacy of the vaccine. He also feels that he has a low risk of getting seriously ill from COVID-19 and prefers to not get the vaccine if it would not be effective in protecting him from contracting the virus.
479	 Collins Stewart	 male	 White	 High School	 50 years old	 maintenance worker	 evangelical Christian	 conservative
480	 Sarah Lee	 female	 Asian	 Graduate	 35 years old	 Ticket Sales Representative	 Southern Baptist	 Conservative
481	 Emily Collins	 female	 White	 Bachelor's Degree	 55 years old	 homemaker	 Evangelical	 conservative
482	 Mark Thompson	 male	 White	 College Dropout	 50 years old	 Trade	 Baptist	 Conservative
483	 Katherine Johnson	 Female	 White	 Graduated college	 65 years old	 Retired healthcare worker	 Protestant Christian	 Libertarian
484	 John Doe	 Male	 White	 High School	 35 years old	 Security guard	 Christian	 Republican
485	 Jones	 Male	 White	 High School Dropout	 65 years old	 Small Business Owner	 Evangelical Christian	 Conservative
486	 Roberts Smith	 male	 White	 None	 65 years old	 Business owner	 Catholic	 Conservative
487	 Smith	 male	 white	 college degree	 65 years old	 self-employed	 Christian	 conservative
488	 Susan Williams	 Female	 White	 High School	 50 years old	 Office worker	 Christian	 Liberal
489	 Katelyn Lee	 female	 White	 college	 34 years old	 pet groomer	 Christian	 conservative
490	 Sarah Turner	 female	 white	 some college	 35 years old	 freelance graphic designer	 Christian	 moderate Republican
491	 Jessica Moore	 female	 White	 Associate's degree	 32 years old	 Stay-at-home mom	 Conservative Christian	 Lean right-wing
492	 Linda Lee	 Female	 White	 GED	 38 years old	 cashier	 evangelical Christian	 conservative
493	 Katie Smith	 Female	 White	 College Dropout	 35 years old	 Stay-at-home Mom	 Evangelical Christian	 Republican
494	 Sarah Johnson	 Female	 White	 High School	 35 years old	 stay-at-home mom	 Evangelical	 conservative
495	 Johnson Williams	 Female	 White	 College	 50 years old	 Small business owner	 Baptist	 Republican
496	 Jackson Moore	 male	 white	 High School diploma	 50 years old	 freelance writer	 conservative evangelical	 libertarian
497	 Joseph Bellamy	 Male	 White	 Bachelor's degree	 32 years old	 construction worker	 Protestant	 Republican
498	 Randi Williams	 Female	 White	 Some college	 32 years old	 small business owner	 Christian	 Republican
499	 Sarah Johnson	 female	 White	 college graduate	 55 years old	 small business owner	 Evangelical Christian	 conservative
